# Wavelength(micron) Intensity(MJy/sr) Error
4.821957 3356.819489 57.207930
4.822744 3339.367667 54.642176
4.823531 3360.556574 50.754799
4.824318 3382.705588 49.434146
4.825105 3388.877560 50.878350
4.825892 3376.633249 55.083680
4.826680 3386.711822 58.298563
4.827467 3397.307393 55.946794
4.828254 3378.095178 50.802934
4.829041 3359.467615 49.079622
4.829828 3358.369646 51.038208
4.830616 3376.619924 56.604805
4.831403 3388.126333 59.209729
4.832190 3385.685101 55.539654
4.832977 3381.132365 51.186701
4.833764 3373.592289 49.729781
4.834552 3393.804146 51.771269
4.835339 3391.836940 56.412415
4.836126 3405.415083 59.710780
4.836913 3375.883057 55.699903
4.837700 3367.401540 51.400435
4.838488 3387.419282 50.285435
4.839275 3387.142995 51.115190
4.840062 3386.851329 56.446324
4.840849 3368.027689 58.322016
4.841636 3358.249896 54.133371
4.842424 3345.999013 50.478109
4.843211 3372.475868 49.027554
4.843998 3384.072488 50.914577
4.844785 3391.388471 57.075286
4.845572 3396.647524 59.283716
4.846360 3411.353146 54.971202
4.847147 3406.383884 51.078991
4.847934 3378.848618 48.285633
4.848721 3367.889208 49.743509
4.849508 3352.366665 54.762687
4.850295 3365.255564 58.184182
4.851083 3398.966138 55.654598
4.851870 3404.411244 51.453335
4.852657 3415.251506 49.119040
4.853444 3420.258334 50.835952
4.854231 3404.526697 54.938216
4.855019 3394.487654 57.758938
4.855806 3375.286209 54.892558
4.856593 3380.123747 50.686344
4.857380 3374.861663 49.037244
4.858167 3387.502969 50.792967
4.858955 3404.578921 55.362227
4.859742 3404.101885 59.474507
4.860529 3414.062726 56.830612
4.861316 3393.117693 50.990916
4.862103 3392.725523 48.750972
4.862891 3373.047158 49.178042
4.863678 3367.859366 53.391006
4.864465 3382.629560 58.978098
4.865252 3391.527583 58.204555
4.866039 3409.123666 52.708494
4.866827 3406.600635 49.936129
4.867614 3410.097663 49.973412
4.868401 3402.096422 53.348832
4.869188 3383.608427 58.716916
4.869975 3391.662014 57.829702
4.870763 3387.425616 52.420894
4.871550 3402.013389 49.468261
4.872337 3403.852337 49.506503
4.873124 3405.433480 53.278121
4.873911 3428.948009 58.982568
4.874698 3421.837133 59.525681
4.875486 3406.284211 53.075332
4.876273 3387.575991 48.914774
4.877060 3376.907881 48.192378
4.877847 3376.987518 50.881220
4.878634 3387.213849 56.442517
4.879422 3433.021831 60.035419
4.880209 3421.414562 55.839525
4.880996 3440.504969 50.731264
4.881783 3436.896313 49.075375
4.882570 3406.354812 50.707419
4.883358 3390.183526 54.304973
4.884145 3379.355094 57.897963
4.884932 3399.901481 56.287470
4.885719 3412.564615 51.004920
4.886506 3418.825026 48.778851
4.887294 3427.185900 50.435036
4.888081 3432.121688 53.846471
4.888868 3448.840547 58.134410
4.889655 3416.963851 57.282920
4.890442 3407.998672 52.030875
4.891230 3399.685287 48.467666
4.892017 3400.563013 49.282785
4.892804 3414.797878 52.298533
4.893591 3433.465262 56.443120
4.894378 3440.211841 59.260546
4.895166 3441.110179 55.507222
4.895953 3435.014278 50.442362
4.896740 3424.792893 49.896248
4.897527 3415.985005 51.694716
4.898314 3440.308205 54.572814
4.899102 3395.044097 58.184827
4.899889 3396.919046 57.619534
4.900676 3436.140062 53.247438
4.901463 3442.276756 51.528233
4.902250 3446.387853 51.788419
4.903037 3452.105295 53.689211
4.903825 3453.617671 56.881608
4.904612 3430.173264 57.462049
4.905399 3407.240138 54.303847
4.906186 3427.188689 52.068582
4.906973 3435.711835 51.547508
4.907761 3474.228530 52.876362
4.908548 3447.457557 55.144847
4.909335 3464.735592 59.113126
4.910122 3463.450190 58.272133
4.910909 3437.244777 53.889863
4.911697 3428.380200 51.140819
4.912484 3415.210630 49.990351
4.913271 3420.824493 51.211593
4.914058 3436.097232 54.867444
4.914845 3435.751111 59.084718
4.915633 3443.613679 57.893817
4.916420 3455.492356 53.956864
4.917207 3453.463628 50.650269
4.917994 3444.339284 49.967708
4.918781 3439.231637 51.537394
4.919569 3429.586758 56.311367
4.920356 3420.259837 58.843925
4.921143 3430.640215 55.771692
4.921930 3451.437484 52.226913
4.922717 3450.963703 49.747246
4.923505 3457.942941 49.705035
4.924292 3470.237528 53.661905
4.925079 3469.815907 59.653728
4.925866 3452.389774 59.485595
4.926653 3442.800357 53.336103
4.927440 3431.267886 49.355045
4.928228 3430.718187 47.562892
4.929015 3440.118478 49.879535
4.929802 3441.257464 56.708146
4.930589 3460.189247 61.526167
4.931376 3467.720439 58.568028
4.932164 3458.292656 51.774583
4.932951 3461.051636 47.913260
4.933738 3457.437544 47.379359
4.934525 3435.682960 51.307241
4.935312 3420.660475 57.721911
4.936100 3456.523664 60.825193
4.936887 3455.006014 56.644146
4.937674 3469.475368 50.944811
4.938461 3473.598479 48.176906
4.939248 3477.170725 49.954190
4.940036 3472.721688 54.629034
4.940823 3463.895573 59.497610
4.941610 3448.591895 59.507499
4.942397 3440.602898 53.769288
4.943184 3436.071533 48.773678
4.943972 3442.492313 48.190386
4.944759 3465.128371 51.804647
4.945546 3471.737090 56.200652
4.946333 3481.016349 60.815843
4.947120 3468.336750 59.002492
4.947908 3454.242099 52.491123
4.948695 3449.039352 48.694736
4.949482 3439.364354 49.258988
4.950269 3450.757727 52.341922
4.951056 3454.013660 55.408835
4.951844 3460.137340 59.949157
4.952631 3482.368062 59.250313
4.953418 3501.018575 53.422644
4.954205 3497.882185 50.875876
4.954992 3493.331421 51.447907
4.955779 3484.705893 52.476094
4.956567 3467.743318 53.997781
4.957354 3471.806812 57.935700
4.958141 3458.054719 57.392539
4.958928 3469.124557 53.586379
4.959715 3464.972454 52.201466
4.960503 3474.162261 51.886094
4.961290 3465.847234 51.779561
4.962077 3467.087866 52.926648
4.962864 3465.620992 56.236831
4.963651 3454.798021 56.548208
4.964439 3461.958918 54.205019
4.965226 3455.297575 52.995515
4.966013 3485.865526 51.695093
4.966800 3483.671762 50.917161
4.967587 3474.867071 52.028062
4.968375 3483.912998 56.244496
4.969162 3485.297555 58.248315
4.969949 3482.130249 56.280062
4.970736 3465.270764 53.424251
4.971523 3465.117771 50.723074
4.972311 3468.187933 49.164621
4.973098 3469.141613 50.159116
4.973885 3489.445289 55.709262
4.974672 3496.621854 59.874989
4.975459 3487.798319 58.547509
4.976247 3489.462235 55.190381
4.977034 3494.914842 50.457692
4.977821 3494.775562 47.748013
4.978608 3474.086136 48.830861
4.979395 3482.092700 54.769334
4.980182 3478.241527 60.851625
4.980970 3496.882580 60.810475
4.981757 3507.217681 55.907441
4.982544 3517.929814 50.445205
4.983331 3514.681527 47.628726
4.984118 3497.367581 49.342862
4.984906 3487.075670 54.409217
4.985693 3496.013308 61.574054
4.986480 3483.077882 61.085847
4.987267 3480.927622 55.291908
4.988054 3501.052454 49.825855
4.988842 3508.573633 47.433580
4.989629 3506.463373 49.554830
4.990416 3509.426799 55.315770
4.991203 3494.579351 61.881161
4.991990 3483.919163 61.500957
4.992778 3477.991677 55.236472
4.993565 3475.683151 49.279065
4.994352 3481.225476 47.069770
4.995139 3499.818769 49.423330
4.995926 3505.228517 55.084398
4.996714 3522.065318 60.875023
4.997501 3529.875373 62.225832
4.998288 3514.264087 57.456373
4.999075 3505.794370 51.018669
4.999862 3499.308152 48.140856
5.000650 3494.725499 49.577829
5.001437 3491.330285 53.851108
5.002224 3475.166551 57.608277
5.003011 3493.863117 59.832748
5.003798 3535.065988 59.588045
5.004585 3526.274592 53.628027
5.005373 3528.372363 50.615992
5.006160 3505.507559 51.134140
5.006947 3505.795394 53.711336
5.007734 3505.773283 54.935191
5.008521 3497.403355 55.423649
5.009309 3497.029757 57.485454
5.010096 3497.204020 55.768317
5.010883 3506.852238 52.895662
5.011670 3523.651006 53.398812
5.012457 3547.578977 54.670126
5.013245 3546.056195 54.095551
5.014032 3526.614691 52.958708
5.014819 3505.839953 54.750358
5.015606 3501.119911 56.029245
5.016393 3496.087833 54.355641
5.017181 3505.637203 54.441602
5.017968 3510.628751 54.767530
5.018755 3521.861530 52.704422
5.019542 3534.428330 50.764440
5.020329 3533.136943 52.136677
5.021117 3531.873968 56.444282
5.021904 3516.255805 57.769717
5.022691 3492.884326 56.149933
5.023478 3492.130772 54.972513
5.024265 3488.706187 51.737179
5.025053 3505.692599 48.655310
5.025840 3527.896294 48.940774
5.026627 3537.461328 53.133993
5.027414 3532.307962 58.850520
5.028201 3540.175800 60.760442
5.028989 3538.893743 58.131460
5.029776 3526.090809 53.299358
5.030563 3514.985024 48.391331
5.031350 3517.263544 46.409891
5.032137 3517.753421 48.447052
5.032924 3524.352748 54.659313
5.033712 3545.506120 62.195943
5.034499 3543.603998 62.521022
5.035286 3551.941967 56.952526
5.036073 3545.204312 51.106663
5.036860 3526.226668 47.145982
5.037648 3509.271920 46.578665
5.038435 3516.974369 49.854614
5.039222 3508.764428 56.174910
5.040009 3532.754670 62.343700
5.040796 3527.743304 60.904052
5.041584 3531.493348 54.208745
5.042371 3533.877676 49.140073
5.043158 3534.060598 47.274182
5.043945 3543.816935 48.825433
5.044732 3516.336557 52.798756
5.045520 3524.167816 58.192799
5.046307 3507.257058 60.919761
5.047094 3509.443921 58.026895
5.047881 3543.111430 52.276250
5.048668 3543.285710 48.647471
5.049456 3550.288600 48.196444
5.050243 3565.897972 51.216250
5.051030 3609.202775 56.097077
5.051817 3643.743767 60.384713
5.052604 3659.905093 60.811215
5.053392 3707.826581 58.160400
5.054179 3700.012052 52.506065
5.054966 3667.064464 49.357511
5.055753 3610.430981 49.810417
5.056540 3581.969701 52.674202
5.057327 3565.957355 56.150213
5.058115 3558.624282 57.572766
5.058902 3562.350457 58.533787
5.059689 3544.044507 57.385509
5.060476 3539.227536 52.420669
5.061263 3536.543486 49.941050
5.062051 3551.950371 50.663098
5.062838 3543.836966 53.316096
5.063625 3550.233111 54.604202
5.064412 3561.966140 54.723931
5.065199 3565.674270 56.206928
5.065987 3567.205210 57.482603
5.066774 3558.074103 55.410078
5.067561 3563.782701 52.798280
5.068348 3562.505927 52.982402
5.069135 3561.627524 53.395962
5.069923 3551.536397 52.020505
5.070710 3553.049430 51.306084
5.071497 3558.680029 53.113405
5.072284 3569.084311 57.429920
5.073071 3578.073354 58.540121
5.073859 3574.759319 56.507421
5.074646 3584.925095 55.584734
5.075433 3580.149780 53.730687
5.076220 3588.559948 50.569912
5.077007 3562.730257 49.297862
5.077795 3558.631464 50.694824
5.078582 3570.411756 54.865582
5.079369 3568.680279 59.388236
5.080156 3576.699525 60.124730
5.080943 3562.821147 57.704651
5.081730 3574.511678 53.786955
5.082518 3566.982927 49.704220
5.083305 3567.729254 48.203969
5.084092 3563.187064 49.415437
5.084879 3563.458784 53.203386
5.085666 3567.513775 58.605037
5.086454 3578.096397 62.312580
5.087241 3581.106872 60.246260
5.088028 3567.919952 54.530933
5.088815 3578.635003 49.813846
5.089602 3582.316969 48.075578
5.090390 3579.031279 49.183557
5.091177 3564.869323 52.453723
5.091964 3559.296491 56.524936
5.092751 3563.407746 61.153376
5.093538 3565.058150 61.572291
5.094326 3570.646531 56.604875
5.095113 3580.837215 51.644243
5.095900 3595.121945 48.900236
5.096687 3602.357134 49.132042
5.097474 3600.404017 52.034787
5.098262 3597.551469 55.855221
5.099049 3587.635960 59.393120
5.099836 3574.128179 61.068017
5.100623 3582.855239 59.147681
5.101410 3591.972896 54.078311
5.102198 3601.409321 50.832875
5.102985 3605.416227 49.846606
5.103772 3602.543136 51.306989
5.104559 3613.040486 54.455212
5.105346 3615.021134 57.240288
5.106134 3596.860295 58.951658
5.106921 3586.277409 59.610217
5.107708 3586.392082 57.556829
5.108495 3584.039515 53.643649
5.109282 3585.460049 51.171284
5.110069 3605.784208 51.659914
5.110857 3613.242099 53.026371
5.111644 3632.483344 55.017007
5.112431 3639.015615 56.460101
5.113218 3634.467747 57.189424
5.114005 3627.534190 58.486308
5.114793 3612.965753 58.215576
5.115580 3604.034179 55.264104
5.116367 3595.255591 53.363492
5.117154 3615.633698 53.514098
5.117941 3608.262038 53.208228
5.118729 3613.039812 53.772933
5.119516 3638.762642 54.262188
5.120303 3643.762499 54.979291
5.121090 3631.809868 57.186941
5.121877 3622.459920 59.334545
5.122665 3604.977016 58.128558
5.123452 3602.504955 55.367263
5.124239 3603.744460 53.803959
5.125026 3610.007241 52.835996
5.125813 3622.512468 52.070298
5.126601 3639.666005 51.342187
5.127388 3645.826616 52.346742
5.128175 3663.590719 55.989802
5.128962 3667.974312 60.300696
5.129749 3660.406962 61.390360
5.130537 3639.932373 57.727580
5.131324 3629.271588 55.008557
5.132111 3613.702174 52.693627
5.132898 3619.953355 50.533972
5.133685 3620.787934 49.150127
5.134472 3640.514785 50.691687
5.135260 3661.969706 54.753031
5.136047 3654.727808 58.773845
5.136834 3663.245069 62.218809
5.137621 3653.682977 60.420594
5.138408 3649.729788 57.262070
5.139196 3631.154415 53.202522
5.139983 3633.512870 50.000088
5.140770 3624.785309 48.439827
5.141557 3626.731000 49.414917
5.142344 3644.393176 52.464542
5.143132 3662.314852 56.313872
5.143919 3661.499005 60.137292
5.144706 3658.319533 61.787623
5.145493 3640.320038 59.757034
5.146280 3637.965229 54.809177
5.147068 3632.982976 51.016380
5.147855 3626.744112 48.896856
5.148642 3625.533954 49.074856
5.149429 3637.914605 50.832091
5.150216 3641.144182 52.596144
5.151004 3643.349291 55.911997
5.151791 3651.804288 59.984205
5.152578 3674.727010 62.489136
5.153365 3646.069583 58.242286
5.154152 3654.792447 54.045234
5.154940 3640.641534 51.115784
5.155727 3634.438341 50.013557
5.156514 3625.443753 49.606444
5.157301 3635.665113 50.287257
5.158088 3641.996056 52.606848
5.158876 3651.177287 56.080084
5.159663 3658.404245 59.517324
5.160450 3668.935733 60.970399
5.161237 3655.192207 58.752940
5.162024 3649.128714 55.204288
5.162811 3648.465503 52.964931
5.163599 3655.487197 51.102583
5.164386 3655.367303 50.003135
5.165173 3642.496414 50.435320
5.165960 3638.100477 52.513839
5.166747 3653.096722 55.390189
5.167535 3647.963778 56.988633
5.168322 3667.891686 59.849579
5.169109 3652.602586 59.693434
5.169896 3643.096323 56.851408
5.170683 3641.445305 53.924434
5.171471 3651.582069 51.570959
5.172258 3642.913829 50.423753
5.173045 3657.923890 51.269441
5.173832 3664.977523 52.544281
5.174619 3660.930125 53.313750
5.175407 3675.369091 55.056586
5.176194 3676.439196 58.582146
5.176981 3679.142404 60.872814
5.177768 3652.093489 58.942689
5.178555 3662.027190 55.609944
5.179343 3649.250246 52.965343
5.180130 3668.315633 52.322469
5.180917 3666.913439 52.176313
5.181704 3655.211306 51.664823
5.182491 3669.728833 52.041226
5.183279 3666.544255 53.694773
5.184066 3683.857583 56.347150
5.184853 3689.984022 59.278969
5.185640 3686.671081 60.029425
5.186427 3658.092481 57.789516
5.187214 3665.614040 55.535330
5.188002 3666.614946 54.354199
5.188789 3665.062662 53.166195
5.189576 3669.984556 51.835169
5.190363 3673.653698 51.515804
5.191150 3684.652545 52.263395
5.191938 3677.941032 53.393985
5.192725 3686.917150 55.138490
5.193512 3683.306907 57.740936
5.194299 3679.009894 59.405554
5.195086 3668.062623 58.728570
5.195874 3673.732879 57.283124
5.196661 3679.272832 55.325625
5.197448 3698.282580 53.712094
5.198235 3694.387491 52.292610
5.199022 3695.239882 51.859908
5.199810 3711.551077 51.797687
5.200597 3699.632274 52.682927
5.201384 3687.506352 53.777002
5.202171 3685.592371 56.392406
5.202958 3682.790402 59.830199
5.203746 3664.411465 60.508866
5.204533 3684.255287 58.724307
5.205320 3688.770080 56.320187
5.206107 3688.688625 54.219868
5.206894 3698.818458 52.511900
5.207682 3693.358984 51.067604
5.208469 3701.180368 50.078194
5.209256 3700.678228 50.605818
5.210043 3713.568428 52.894920
5.210830 3704.972204 55.986741
5.211617 3701.120338 59.559268
5.212405 3704.525730 61.560796
5.213192 3717.728305 61.055633
5.213979 3721.543295 58.253505
5.214766 3725.575641 55.474488
5.215553 3727.475983 52.626360
5.216341 3742.737784 50.683064
5.217128 3745.573948 49.930390
5.217915 3735.775695 50.415144
5.218702 3740.426685 52.724109
5.219489 3722.245424 55.065165
5.220277 3730.874288 57.749102
5.221064 3723.607403 60.477554
5.221851 3730.926514 62.437667
5.222638 3764.339216 61.352098
5.223425 3773.793353 57.519666
5.224213 3773.942214 53.794522
5.225000 3769.849271 51.742060
5.225787 3761.976724 50.623240
5.226574 3770.576880 51.481284
5.227361 3805.935734 53.847222
5.228149 3880.171867 57.272663
5.228936 3872.624099 58.758705
5.229723 3885.737750 60.384051
5.230510 3794.236358 60.117330
5.231297 3792.289864 61.385359
5.232085 3793.643478 60.008742
5.232872 3791.928170 56.618072
5.233659 3776.820703 53.765608
5.234446 3762.535930 52.294147
5.235233 3773.092162 52.902377
5.236021 3769.527054 53.867778
5.236808 3759.607498 54.430195
5.237595 3763.705174 54.651499
5.238382 3764.464251 55.023337
5.239169 3768.974649 56.036495
5.239956 3779.566979 57.139570
5.240744 3785.317309 58.917812
5.241531 3777.031192 59.454181
5.242318 3760.436109 58.205734
5.243105 3748.329826 55.863680
5.243892 3764.445126 55.772833
5.244680 3763.200170 55.740111
5.245467 3764.993378 55.317618
5.246254 3763.580514 54.357703
5.247041 3766.806992 53.277181
5.247828 3774.199764 52.421649
5.248616 3783.549315 52.155511
5.249403 3779.778969 53.120597
5.250190 3784.864818 55.018290
5.250977 3754.363436 56.800028
5.251764 3761.724376 59.269627
5.252552 3762.665808 60.278669
5.253339 3765.766549 60.083317
5.254126 3758.381175 58.905562
5.254913 3759.567842 56.538398
5.255700 3773.583856 54.276026
5.256488 3769.768537 51.692527
5.257275 3774.349143 49.923591
5.258062 3780.556994 49.463831
5.258849 3778.347227 50.256096
5.259636 3753.150989 51.886515
5.260424 3755.773506 54.627310
5.261211 3765.501017 58.408452
5.261998 3764.609275 62.490279
5.262785 3757.321475 64.252243
5.263572 3775.899569 63.182056
5.264359 3776.987677 59.491983
5.265147 3778.711341 55.216999
5.265934 3778.685192 51.743040
5.266721 3770.130861 49.214551
5.267508 3778.961530 48.392556
5.268295 3779.564465 48.687612
5.269083 3766.064663 50.010882
5.269870 3771.476801 52.995918
5.270657 3767.280658 56.606648
5.271444 3789.391162 60.628492
5.272231 3782.846934 62.749982
5.273019 3796.809856 64.116465
5.273806 3768.013758 62.352880
5.274593 3775.027088 58.915382
5.275380 3765.436854 54.835028
5.276167 3762.410750 51.770683
5.276955 3770.491704 50.290048
5.277742 3761.821497 49.564735
5.278529 3756.756731 50.030035
5.279316 3758.810992 52.078600
5.280103 3762.307428 54.910374
5.280891 3765.397940 57.444611
5.281678 3788.440262 58.900105
5.282465 3771.191797 58.559317
5.283252 3759.498920 57.529796
5.284039 3750.002747 57.358043
5.284827 3752.220934 57.607676
5.285614 3750.241575 57.167029
5.286401 3754.750751 56.072331
5.287188 3763.393052 54.805885
5.287975 3764.975098 53.926385
5.288762 3769.520927 54.323547
5.289550 3773.708477 55.203508
5.290337 3784.051293 56.122042
5.291124 3781.633276 56.275770
5.291911 3767.347730 54.887171
5.292698 3761.880050 53.226427
5.293486 3768.538745 52.265147
5.294273 3761.229604 52.109072
5.295060 3768.010022 53.670378
